,Date,Where,Team A,Team B,Goal A,Goal B
0,2023-01-17,Salesiani,"[17, 29, 53, 20, 22]","[10, 6, 11, 27, 45]",6,11
1,2023-02-02,Salesiani,"[10, 53, 6, 43, 52]","[13, 11, 17, 29, 27]",6,8
2,2023-02-16,Salesiani,"[11, 6, 40, 53, 1]","[10, 22, 29, 17, 36]",3,4
3,2023-02-16,Salesiani,"[11, 10, 53, 40, 1]","[6, 17, 29, 22, 36]",5,1
4,2023-02-28,Dopolavoro ferroviario,"[10, 53, 1, 22, 29]","[43, 27, 6, 37, 24]",4,3
5,2023-03-07,Salesiani,"[10, 20, 22, 29, 36]","[6, 43, 27, 24, 21]",10,2
6,2023-03-23,Salesiani,"[10, 6, 20, 1, 22]","[53, 29, 36, 40, 26]",6,0
7,2023-03-23,Salesiani,"[1, 40, 22, 20, 6]","[10, 53, 36, 26, 29]",6,7
8,2023-04-03,Salesiani,"[27, 6, 24, 4, 41]","[10, 17, 29, 22, 25]",3,5
9,2023-04-19,Via dei Mille,"[10, 6, 20, 41, 25]","[27, 29, 22, 36, 26]",6,11
10,2023-04-28,Salesiani,"[11, 6, 22, 10, 57]","[55, 56, 25, 29, 41]",8,4
11,2023-05-17,Salesiani,"[10, 6, 43, 22, 29]","[17, 36, 26, 41, 24]",5,7
12,2023-05-30,Salesiani,"[10, 53, 6, 43, 22]","[17, 27, 24, 21, 29]",3,3
13,2023-06-08,Salesiani,"[27, 29, 10, 6, 22]","[51, 44, 7, 24, 46]",4,7
14,2023-06-13,Salesiani,"[17, 29, 10, 53, 36]","[6, 43, 27, 22, 21]",6,5
15,2023-06-28,Salesiani,"[10, 29, 53, 6, 22]","[27, 24, 41, 17, 54]",6,7
16,2023-07-05,Salesiani,"[17, 29, 22, 2, 53]","[10, 6, 24, 14, 27]",2,10
17,2023-09-08,Salesiani,"[29, 10, 53, 26, 24]","[6, 43, 14, 36, 21]",6,5
18,2023-09-14,Salesiani,"[10, 24, 19, 6, 21]","[36, 29, 22, 40, 26]",4,5
19,2023-09-19,Salesiani,"[17, 27, 29, 43, 21]","[11, 6, 22, 41, 53]",9,4
20,2023-10-05,Salesiani,"[17, 29, 27, 53, 24]","[10, 6, 43, 14, 22]",4,5
21,2023-10-12,Salesiani,"[10, 53, 6, 27, 24]","[36, 20, 43, 18, 14]",0,4
22,2023-10-12,Salesiani,"[27, 10, 43, 24, 53]","[6, 20, 36, 18, 14]",1,4
23,2023-10-18,Salesiani,"[10, 53, 43, 22, 17]","[6, 36, 24, 41, 18]",5,8
24,2023-10-23,Salesiani,"[10, 6, 36, 24, 41]","[17, 18, 22, 53, 26]",10,6
25,2023-10-26,Salesiani,"[29, 22, 27, 24, 18]","[6, 10, 36, 26, 40]",7,7
26,2023-11-07,Salesiani,"[43, 17, 41, 53, 36]","[6, 18, 22, 29, 42]",7,12
27,2023-11-13,Salesiani,"[17, 27, 10, 53, 40]","[36, 41, 22, 6, 29]",5,12
28,2023-11-17,Salesiani,"[10, 45, 18, 6, 29]","[41, 36, 17, 21, 43]",16,10
29,2023-11-23,Salesiani,"[6, 29, 22, 18, 17]","[10, 53, 26, 36, 41]",9,16
30,2023-11-29,Salesiani,"[17, 36, 6, 45, 43]","[10, 27, 29, 22, 41]",5,9
31,2023-12-06,Salesiani,"[10, 43, 52, 6, 18]","[53, 36, 45, 26, 48]",5,3
32,2023-12-14,Salesiani,"[17, 36, 30, 6, 43]","[22, 21, 45, 27, 41]",11,6
33,2023-12-20,Chiarbola,"[10, 27, 29, 6, 36, 22]","[28, 33, 12, 5, 45, 9]",5,9
34,2024-01-12,Salesiani,"[10, 17, 18, 22, 58]","[36, 6, 26, 52, 61]",17,5
35,2024-01-16,Salesiani,"[10, 22, 18, 6, 17]","[36, 53, 27, 43, 30]",14,12
36,2024-01-18,Salesiani,"[10, 27, 36, 24, 48]","[52, 49, 61, 59, 60]",10,4
37,2024-01-24,Salesiani,"[10, 53, 43, 17, 24]","[6, 52, 27, 36, 40]",3,3
38,2024-01-31,Via Rossetti,"[10, 43, 41, 17, 50]","[6, 22, 21, 53, 52]",3,6
39,2024-04-11,Salesiani,"[10, 50, 17, 22, 6]","[41, 53, 39, 43, 24]",3,4
40,2024-06-05,Salesiani,"[10, 17, 15, 8, 6]","[24, 53, 22, 29, 54]",4,2
41,2024-06-27,Salesiani,"[10, 43, 6, 21, 34]","[1, 29, 17, 22, 53]",5,4
42,2024-07-10,Via Rossetti,"[34, 22, 6, 24, 21]","[43, 53, 15, 1, 17]",4,10
43,2024-10-28,Salesiani,"[10, 17, 18, 22, 23]","[43, 53, 21, 24, 6]",9,2
44,2024-11-05,Salesiani,"[29, 22, 18, 6, 35]","[30, 23, 16, 40, 47]",13,12
45,2024-11-07,Salesiani,"[41, 30, 17, 23, 22]","[6, 29, 36, 15, 24]",6,4
